dosen,judul,abstrak,keyword
", Azizah Fatmawati, S.T., M.Cs.",Sistem Informasi Absensi Sumber Daya Manusia PT. Rajawali Nusindo,"State-owned enterprises (SOEs) are companies that are mostly owned by the state government. Limited Liability Company (PT) Rajawali Nusindo is a state-owned company (SOEs) engaged in trade distribution. The management of human resources, especially those whose employees are absent at Limited Liability Company (PT) Rajawali Nusindo, still has shortcomings because it does not have a permit and leave application feature. The systems operating today are also desktop based with outdated software. The use of outdated software means that the stored data cannot be backed up because the format is no longer compatible with today's modern applications. Based on these conditions, this study aims to develop a web-based attendance information system. The system development method used is the Waterfall method and applies the Codeigniter framework. Based on the results of the Black Box test, it shows that all system functionality is running well. The results obtained from this study is a web-based information system that can be managed by employee attendance data and permits in an
integrated system.","absensi, framework Codeigniter, waterfall, web"
", Azizah Fatmawati, S.T., M.Cs.",Sistem Informasi Pendataan Santri di Pondok Pesantren Adh-Dhuha,"Information systems have uses to make it easier for users to do a job to be more efficient. Data management at the Adh-Dhuha Islamic Boarding School which contains the storage and reporting of santri data is still done manually using paper and using excel. This is considered inefficient because managers often lose student data and are not time efficient. Based on these problems, a study was conducted with the aim of developing a data collection information system for students at the Adh-Dhuha Islamic Boarding School. The method used in the development of the data collection information system for students in the cottage is using the waterfall method which includes system requirements analysis, system design, system implementation, system testing and system maintenance. Framework used is Codeigniter and the tools used are Visual Code Studio, XAMPP, PHPMyAdmin and Chrome. The aim of the research has been achieved with the creation of a student data collection system at the Adh-Dhuha Islamic Boarding School which all of its features function well. The results of the blackbox testing state that the data collection information system for students at the Adh-Dhuha Islamic Boarding School can run according to its function.","Pondok Pesantren, Santri, Sistem Informasi."
", Azizah Fatmawati, S.T., M.Cs.",Sistem Informasi Manajemen Pada Bengkel Koh Sin Grobogan,"Koh Sin Workshop is a special car repair shop that operates in the field of services both providing repair services and sales of spare parts and oil. The data management process at this workshop still uses manual method with paper media and general ledger archiving. The amount of data stored causes the time needed to search for customer data takes longer, and is vulnerable to loss of data. The purpose of this research is to develop a management information system in Koh Sin workshop. The method used in this study is the waterfall method which is often also called a linear sequential model or classic life cycle. The stages include requirements analysis, system design, coding, testing, and implementation. The purpose of this research has been achieved with the establishment of Management Information Systems at Grobogan Koh Sin Workshop that all features function properly in accordance with the expected goals. Based on the results of the blackbox and SUS testing, it can be concluded that the system can work as expected with an average respondent yield of 77.3333% and can be accepted by users.","information systems, management, workshop"
", Azizah Fatmawati, S.T., M.Cs.",Sistem Informasi Manajemen Rumah Makan Kepo (Kedai Pojok) Berbasis Web,"The food service industry has an important role in life. One of the businesses engaged in food service is the KEPO restaurant. Management of data processing at KEPO restaurants is still done manually such as in writing financial reports and food ordering systems so that there are still problems. This study aims to develop an information system at the KEPO restaurant. PHP and Javascript programming languages are used in development using the CodeIgniter 3 Framework. This system uses the System Development Life Cycle (SDLC) development method, namely the waterfall model which has 5 stages including analysis, design, development, testing and implementation. An information system at the KEPO restaurant is the result of this study which has been tested using blackbox testing with the results that all features run as expected","Manajemen, Rumah Makan, Sistem Informasi"
", Azizah Fatmawati, S.T., M.Cs.",Penerapan Algoritma K-Means Dan C4.5 Untuk Clustering Jurusan Siswa Baru Pada Sekolah Menengah Kejuruan (Studi Kasus: SMK Negeri 1 Paron),"Courses in Vocational High Schools (SMK) are used as a reference to channel the abilities of students. The cornering is done during the registration of new students. In general, prospective students must choose a major by the average score of the report card or national test scores of Junior High School (SMP) regardless of other criteria resulting in the occurrence of mistakes in the selection of majors that are not by their interests and abilities. This research aims to classify courses for students appropriately, effectively, and efficiently. The method used in this study is with Data Mining which applies K-Means Algorithm and C4.5 Algorithm. K-Means algorithm is used to group courses based on supporting criteria in the form of junior high school grades, namely Math and Language Scores, average parental income, and several prospective students' siblings. The results of the K-Means algorithm will be compared to the results of the C4.5 algorithm in the form of a rule (decision tree). This study produced an accuracy value from K-Means algorithm by 58,22%, while the C4.5 algorithm resulted in an Accuracy value of 41,61%, Precision of 26,44%, and Recall value of 25,9%.","Algoritma C4.5, Algorima K-Means, Klasifikasi, Kriteria, Penjurusan"
", Fatah Yasin Al Irsyadi, S.T., M.T",Game Edukasi Penghitungan Angka Dasar Dan Uang Pada Anak Disabilitas Pendengaran Sekolah Luar Biasa BC Mitra Amanda Banyudono,"PT. BC Mitra Amanda Special School is a school that accommodates children with hearing disabilities and autism located in Trayu, Banyudono, Boyolali. Students there have special persons such as deaf and mild mental retardation. The obstacle experienced during the learning process is the delay in their understanding. But they can adjust the environment around them. For numeracy learning materials, the teacher uses media such as paper with a picture of number sign language, and currency materials, the teacher teaches sales in school cooperatives. However, the learning media makes students feel bored and it is difficult to understand the material presented by the teacher. Researchers conducted research in the form of surveys to schools to make educational games. This educational game teaches students to be able to calculate basic numbers from 1-10 as well as hundreds to tens of thousands of money using sign language image media, which is expected to be able to increase students' knowledge in economic fields such as selling and buying goods. Learning to count numbers and money is intended to make students understand about buying and selling in the community. The making of this educational game uses construct 2, then to create and modify assets using Adobe Illustrator CS6 and CorelDraw 2018 software. Then, the researchers implemented and tested the application. Testing the application using the black box method shows that the application is running well and smoothly. Implementation is carried out using direct respondents who are given a questionnaire to measure the feasibility of the program. The results of the questionnaire show that the percentage reaches 91%, that is, that the application can be accepted by users well. With an attractive design, this game can help students learn to count basic numbers and money, making it easier for teachers to teach in class.","angka dasar, constract 2, tunarungu, uang"
", Fatah Yasin Al Irsyadi, S.T., M.T","Game Edukasi Pengenalan Flora dan Fauna di Sekitar Kita Untuk
Tunagrahita Ringan Kelas 4 SD SLB BC (Studi Kasus: YPASP
Gondangrejo)","Learning media about flora and fauna in schools with special needs are still using Learning
media about flora and fauna in schools with special needs are still using conventional learning
media because of the limited props needed, this makes students with special needs (mental
retardation) not really understand the material provided, on this basis this educational game is
made, as learning companion media with the aim of making it easier for teachers to deliver
material and is expected to increase student interest in learning. This research was carried out
at the BC Special School of the Saestu Putro Gondangrejo Children's Education Foundation
with reference to the 2013 curriculum. The research was started by conducting observation
and interviewing methods with teachers and observing students directly while learning in
class. The results of observations and interviews with classroom teachers are a guide for
making this educational game. The making of this educational game uses Construct 2, and to
design images and animations using Adobe Photoshop cc and Corel Draw x7. Testing the
application with the Blackbox method shows that the application can run according to its
function. Implementation is carried out by direct testing of respondents, then with a
questionnaire to measure the feasibility of the application. The results obtained show that this
application can help users with a percentage of 88.78%.","construct 2, fauna, flora, game edukasi, tunagrahita."
", Fatah Yasin Al Irsyadi, S.T., M.T",Game Edukasi Pengenalan Budaya – Budaya Indonesia Berupa Baju Adat dan Makanan Khas Daerah Pada Anak Tunagrahita Di SLB BC Mitra Amanda Banyudono,"BC Mitra Amanda Special School (SLB) is one of the special schools for children with special needs located in Banyudono. In this school, there are various kinds of children with special needs, such as deaf, mentally retarded, and disabled. This research was conducted on students with mild mental retardation. The obstacles faced by students with mild mental retardation in the learning process are the obstruction of their academic development. However, they are able to adapt themselves to the social environment and are able to develop their academic fields. Learning about Indonesian culture at SLB BC Mitra Amanda is very minimal, for example, only regional dances are taught in schools. Even though the introduction of Indonesian culture is very important for Indonesian students. So, the aim of this research is to make games as additional learning media that introduce traditional clothes and Indonesian specialties. The purpose of making this game is to increase children's interest in the learning process so that children can develop their academics. This research was conducted on eleventh grade mentally retarded persons who refer to the curriculum used by classroom teachers in the teaching process. The results of observations and interviews assisted by classroom teachers indicate that this application was made to accompany the learning process regarding the introduction of Indonesian cultures in the form of traditional clothes and regional specialties for students. This game was created using Construct 2 as the main software and is equipped with other supporting software. The final results of this study were obtained by trying a game made in front of the class and witnessed by teachers and principals of
SLB BC Mitra Amanda. After that they can try this game themselves. This game was created to be a companion in the learning of students and provide other learning methods that can attract their interest in learning. So based on the questionnaire filled out by the teachers and principals, this game is worthy of being used as a companion in the learning process of the students.","budaya Indonesia, construct 2, game edukasi, tunagrahita"
", Fatah Yasin Al Irsyadi, S.T., M.T",Aplikasi Game Edukasi Pengenalan Alat Rumah Tangga untuk Anak Downsyndrome SLB Negeri Boyolali,"Down syndrome is the most common genetic disorder that causes differences in learning abilities and certain physical characteristics. Down syndrome cannot be cured, but with maximum support and attention, it can be very helpful. WHO data estimates that 3,000 of 5,000 babies are born with this condition each year. With proper treatment, sufferers can live healthy and able to carry out activities independently, even though the disorder cannot be cured. This Education Game has the aim to help teachers to facilitate the delivery of teaching and learning activities for children with Down Syndrome so that it is easier to recognize household tools that may be quite difficult for teachers if given normally. This application was created using Construct 2, with GDLC method. The test was carried out using the blackbox method and also giving questionnaires to 16 teachers who taught at the Boyolali Extraordinary School, and produced 99.8% of good responses to this application, with the highest percentage details found in the enthusiasm of students in using this application by 90 , 63% and the lowest is on the technical factors of this application, namely the audio of 71.875%.","Construct 2, Down syndrome, Educational Game"
", Fatah Yasin Al Irsyadi, S.T., M.T","Rancang Bangun Game Edukasi Pengenalan Hadits Pendek
Arbain Nawawi Untuk Anak Berbasis Android","Hadith is the second source of law after the Qur'an which contains the words, deeds and provisions of the
Prophet Muhammad. Children need to be introduced to the hadith as a guide in everyday life. Therefore, this study aims to build an educational game that can help children know and memorize short arba'in
hadiths related to everyday life. Interesting games can make children not bored and interested in playing, besides that children can also get to know short arba'in hadiths. This educational game was built using
Construct 2. Creating of the animation in this application using Corel Draw X8 software. Based on the
results of the BlackBox test, the Hadith Arbain educational game is compatible with various types of
smartphone devices. The game was tested on 30 teachers from several schools. The game has an
attractive appearance based on a questionnaire which has an average proportion of answers to 88%. Interactive game based on the average proportion of answers obtained 80%. This game is also easy to use
with an average proportion of answers of 88.7%. Games that are interactive and have an attractive
appearance and are easy to use are expected to make children interested and not easily bored when
playing them. The research was conducted in various stages, namely the needs analysis stage, data
collection, application design, application development and testing.","android, construct 2, educational games, arbain hadith"
", Fatah Yasin Al Irsyadi, S.T., M.T",Game Edukasi Bahasa Inggris Untuk Anak Kelas 1 Sekolah Dasar Menggunakan Construct 2,"Currently, one of the international languages that must be mastered is English. Since elementary school, English lessons have been taught to children. Often children have difficulty in learning English because their ability to remember vocabulary is weak and the child's lack of willingness to learn it. Making learning easier and attracting children's willingness to learn English is the goal of this English educational game. Game Development Life Cycle method is the method used in this study with the waterfall model. The data needed for making the game was obtained by conducting interviews with the deputy principal of the Madrasah Ibtidaiyah Al-Kautsar. The software used to make this educational game is Construct 2 and to create a 2-dimensional game design using CorelDraw X7 and Cool Edit Pro 2.1 is used to process sound. The application test results show that all systems have been running well based on the blackbox test.",Construct 2; Educational Game; English
"-, Heru Supriyono, S.T., M.Sc., Ph.D",Sistem Antrian Berbasis Barcode Untuk Pasien di RSI Muhammadiyah Sumberrejo,"Barcode-based queuing system is needed to improve the queuing system which was previously considered less efficient because it still uses the manual method or what is called conventional queuing, which is the time that patients can use to rest or other daily activities are used up to wait. Barcode-based queuing system has a function as a tool for hospital queue officers and patients in terms of calling and taking queue numbers. Therefore it is necessary to develop a barcode-based queuing system using the Hypertext Preprocessor (PHP) programming language with the CodeIgniter framework. The method used by the author in developing this barcode-based queuing system is SDLC (System Development Life Cycle). Then the system will be tested using Black Box and System Usability Scale (SUS). The results of this study are a barcode-based queue system that has a feature for patients to take a queue number and know the queue number that is in progress, for officers to call, reset the queue number and the admin can manage officer account data, polyclinics, patients, health insurance, and recap the queue reports per day. The conclusion that can be obtained from this research is the barcode-based queuing system can be accepted by the user. This is indicated by the 15 respondents who have tested the system resulting in a score of 71 which can be categorized as a system that can be accepted by the user.","sistem antrian, barcode, MySQL"
", Ir. Bana Handaga, M.T. PhD",Perancangan Sistem Pengenalan Jenis Tanaman Obat Dengan Kamera Berbasis Android,"The natural wealth of Indonesia's tropical forests holds a wealth of biological potential which is very abundant. One of the natural products that can be used in the field of health as herbal medicines for healing diseases. Without realizing it turns out many herbs that grow around the house, but many are not yet known because it is difficult to understand with the ordinary eye. Thanks to the development of Technology 4.0, smartphone usage has become common. Android devices have been transformed to support life in the community. Every android smartphone is connected to a camera, but the camera is only used for photography. This camera also does not have a special system for the process of recognizing an object. The purpose of this study is to apply a smartphone camera on Android in order to be able to recognize the leaves of medicinal plants, thereby restoring public interest in using leaves as medicine.With the Deep Learning method and CNN architecture, it can make a camera that previously could not discuss an  object to be able to focus the object according to data training. Research using the Deep Learning method to create a herbal leaf recognition system using an android smartphone camera. The results of the method obtained are 100% accurate on 6 types of herbal leaves that have been photographed on a white background.","android, CNN, daun , herbal ,deep learning, kamera"
", Heru Supriyono, ST. MSc. PhD",Aplikasi Game Edukasi Tebak Gambar Dan Menyusun Kata Untuk Siswa TK Berbasis Android,"In the world of education, learning about arranging words and numbers is actually taught when children enter kindergarten.The material presented at Kindergarten Pertiwi 1 Blangu still uses the usual learning method that relies on wooden blocks as an introduction to be considered inadequate to create interest. student learning goes up. The learning ability of kindergarten students is very varied, some are dexterous in remembering every word and number, some are weak learning how to pronounce words and numbers due to the lack of interesting learning media for students. The purpose of this research is to make educational games about arranging words and numbers. Data collection was carried out at Kindergarten Pertiwi 1 and met with kindergarten teaching staff for interviews and observations. Making image assets in this study using Corel Draw 12 and Adobe Photoshop CS6 software. This educational game is made using Construct 2, then the results of the master file are exported into an apk bundle file. This word and number recognition educational game application has 2 features, a material menu containing 3 sub menus, and a hint menu containing instructions on how to use this game. Testing on the Blackbox shows all the features contained in this software can run as expected since the beginning of development and manufacture. The SUS test that has been carried out has obtained 83 results with the following conditions: a.) The level of user acceptance is in the acceptable category, b.) The grade level of the scale is in category B, and c.) The rating adjective is in the excellent category.

Keywords: Android, Construct 2, Game edukasi, TK Pertiwi 1 Blangu.","Android, Construct 2, Game edukasi, TK Pertiwi 1 Blangu."
", Heru Supriyono, ST. MSc. PhD",Perancangan Sistem Informasi Berbasis Web pada Home Industri Spectrum Production,"In this modern era, business people take advantage of sophisticated technology in order to advance  and  develop  to  compete  with  others.  One  small  industry,  namely  Spectrum Production, is still lacking in publishing it to the public. This research aims to design an information system based on the Spectrum Production website. The method used in this research is the waterfall method. The stages carried out in this study include needs analysis, system design stage, use case diagrams for admins, use case diagrams for users, activity diagrams, display design, implementation, and black box testing. The features displayed include  a  main  page  containing  an  overview  of  Spectrum  Production,  a  profile  page explaining  the  founding  of  Spectrum,  a  production  photo  page  and  an  event  photo explaining  about  service  photos  available  at  Spectrum,  our  contact  page  containing telephone numbers, emails, etc. The results show that the website can be applied and useful for Spectrum Production for socialization and media promotion as well as improvement in business. As well as providing the public with easy and very efficient access to information about Spectrum Production.","Spectrum Production, Information, System,Website"
", Heru Supriyono, ST. MSc. PhD",Perancangan Website Sekolah SDI Al Uswah Delanggu Dengan Wordpress,"SDI Al Uswah Delanggu School, established in 2008, is one of the educational institutions that offers a balanced integrated curriculum (General and Religious). Along with the increase in the number of students and the development of information technology now at SDI Al Uswah Delanggu wants to have an online information media based on the school website that can be used by the school. Previously, information about SDI Al Uswah Delanggu was only available through banners or posters placed in certain areas or by visiting schools in person. The problem faced by SDI Al Uswah Delanggu is that there are still some people who still have difficulty getting information about SDI Al Uswah Delanggu. From these problems the authors helped create a website for SDI Al Uswah Delanggu, so that the community could more easily get information about the school. For the design of the SDI Al Uswah Delanggu website using WordPress as a medium in making websites. The design of this website aims to provide information related to SDI Al Uswah Delanggu school. This website contains some school profile information such as vision and mission, teaching and learning hours system, information on achievements that have been obtained, several teaching programs and educational programs and registration information for new student admissions. The results of the research conducted indicate that the website can be used by SDI Al Uswah Delanggu as a medium of information and as a promotional medium for the school. As well as making it easier for the general public to find information about SDI Al Uswah Delanggu which can be accessed anytime and anywhere without any time restrictions.","Website, SDI Al Uswah Delanggu, Wordpress"
", Dr. Ir. Bana Handaga, M.T.",Aplikasi Game Pembelajaran Operasi Hitung Untuk Anaka Sekolah Dasar Berbasis Construct 2,"Currently, games are a means of entertainment that are of interest to young people to the elderly. There are many kinds of games ranging from online such as shooting to offline such as educational games. The inclusion of games in the learning process creates a pleasant atmosphere because children can control the speed of learning according to their abilities.
Making Learning Operation Counting Game Applications for Elementary School Children Based on Construct 2 aims to make educational games with Construct 2 and provide an educational side.
The result of making this game is a game application that is used as a learning media for arithmetic operations. This game can later help students to make it easier to learn mathematics, especially in terms of basic arithmetic operations.","construct 2, game, media belajar, operasi hitung"
", Dr. Ir. Bana Handaga, M.T.",Penerapan Load Balancing Menggunakan Metode Equal Cost Multi Path (ECMP) pada Jaringan Semesta Group,"Today the development of information technology is so fast that it brings many changes to human activities. Many companies today use two connection lines. Even though a company has taken advantage of the use of both internet connection links, new problems arise if one of the links experiences interference. As in the main office of the Semesta Group which has two internet connections or links, in its implementation problems often occur when accessing the internet and information systems, due to full traffic because they are accessed simultaneously. The second obstacle is when one of the connection links is interrupted, the division using it will be hampered by its work. Therefore, it is necessary to ""Implement Load Balancing Using the Equal Cost Multi Path (ECMP) Method in the Semesta Group Network"". Load balancing is a technique of distributing traffic loads on two or more connection lines, so that traffic can run better, the ECMP method allows automatic connection switching when one of the connections is interrupted to an active connection. Will be implemented in the main office of the Semesta Group. The load balancing application using the ECMP method on the Semesta Group network can run well with a 5: 1 gateway ratio, namely 100 Mbps on the first link and 20 Mbps on the second link. The failover effect on the Semesta Group network goes well when the connection to one of the links is lost automatically the connection will be moved to the active link.","Load Balancing, failover, ECMP, mikrotik"
", Azizah Fatmawati, S.T., M.Cs",Sistem Informasi Inventaris pada Panti Asuhan Aisyiyah II Kadipiro Surakarta Berbasis Web,"Inventory data is something that needs to be managed properly. The data collection process includes periodic activities that result in irregular changes in the amount and condition of the data. Inventory data must be well structured and structured in order to produce reports or information that are useful for the smooth running of an agency's data collection. Data recording at the Kadipiro Aisyiyah II Orphanage still uses conventional recording methods which have resulted in various problems in the inventory data collection process. Problems that arise can be in the form of accumulation of data due to errors in entering data, inconsistencies  in writing data that allow errors in reporting, data loss that often occurs due to the absence of a structured backup of data files. The purpose of this study was to develop an inventory information system at the Aisyiyah II Kadipiro Orphanage. The method used is the SDLC method by utilizing the Waterfall approach, including requirements analysis, system design, writing program code, program testing and program implementation. The coding in the development of this system uses the programming language PHP and MySQL as a database  and uses the codeigneter framework. The system has gone through the black box testing stage which results in the conclusion that all the features contained in the system are running properly. The results of this inventory information system can process all the needs related to the process of data collection or inventory recording at the Kadipiro Aisyiyah II Orphanage.","Aisyiyah, Inventaris, Sistem Informasi"
", Bana Handaga, S.T.,M.T.,P.h.D",Digitalisasi Sistem Administrasi Perpustakaan Studi Kasus SMK Negeri 1 Sambi Boyolali,"The digitization of the library administration system is the process of implementing and utilizing technology in library data processing. Massive technological advances, system digitization are the main reasons for increasing system efficiency and effectiveness. One of them is the digitization of the library administration system. There are still many libraries with manual systems, all of which still use handwritten and paper. The data has not been integrated, which resulted in making reports requiring a lot of time and difficulty in obtaining library data information. This can be overcome by building a website-based digitalization library system that can  be accessed easily and integrated data management. The system development uses the PHP programming language which is applied to the laravel framework with the SDLC prototype model method. The result of the development of this system is a library administration system that can facilitate officers in managing library   data and make it easier for the head of the library to monitor library data. Based on black box testing, functionally this system can process book data, members, create library cards, can manage data on library visits and borrowing transactions, returns and fines. The library administration system can be accepted by users as proven by testing the System usability scale (SUS), resulting in an average of 76.5, including in the good and acceptable categories.","digitization, library, prototype, website"
", Bana Handaga, S.T.,M.T.,P.h.D",Sistem Identifikasi Komentar Negatif Pada Instagram,"Starting from a problem that often occurs in the social media application Instagram, namely negative comments. Negative comments are generally in the form of words that annoy the account owner because they are not related to photos or videos. Negative comments can cause the mentality of the account owner to be disturbed because the comments are too cornering for the account owner. This study aims to build a system that can identify negative comments on Instagram. To identify negative comments using Sentiment Analysis with NaÃ¯ve Bayes (NB) method and using system design tools such as Activity Diagrams, ERD (Entity Relationship Diagrams), Use Case Diagrams, Codeigniter, MySQL and Visual Studio Code. Comment data used in this study was taken from all comments in the photo or video of the account owner. Testing on the system using the Black Box and Usability methods. From the results of research the system runs as expected to help deal with negative comments on Instagram posts. The test results from the Black Box explained that the system made can run according to its function and based on testing from Usability using the System Usability Scale (SUS) questionnaire, the average score of 67.08 is obtained so that it can be concluded that the system is in a good category and can be accepted by users","Identifikasi Komentar Negatif, Instagram, Komentar Negatif, NaÃ¯ve Bayes (NB), Sentiment Analysis"
", Bana Handaga, S.T.,M.T.,P.h.D",High Performance Database Server (High Availability Database Server) Menggunakan MariaDB Galera Cluster,"Information systems are an integral part of today's technological developments. The higher need of information systems demands the better service. One of the base foundation to improve the quality of information systems is a database server. Database server plays a role as a data storage in a network or in an information systems. A failure occurs on the database server can happen any time in a system with one server as its database. If that failure occurs, users cannot access the systems and have a risk of losing their data stored on the server. Therefore, a database server is required to work fast and has a high availability in its performance. The aim of this research is to build a high availability system where several database servers are connected so that if any failure occurs in one of them, another database server will act as a backup which is called a cluster database server. The data on each of the database server are replicated in real time so that data between nodes can be synchronized. MariaDB Galera Cluster supports multi-master database replication technique. The result of this research is a  reliable system that has a high availability.","Database Server, High Availability, MariaDB Galera Cluster, Replication, Synchronization"
", Heru Supriyono, S.T. M.Sc, Ph.D",Rancang Bangun Aplikasi Penjualan Berbasis Web pada TB. Mulyo Barokah,"The Mulyo Barokah Dry wall Store is a hardware and building material store in Gemolong, where all transactions are still carried out in a conventional manner by writing in a notes. So there is no information on availability of stock of goods and some delays in shipping goods due to notes paper that is often lost. Based on these problems the author makes a web-based sales application design that can help improve the quality of service from the building shop. In this study the method used is the waterfall approach, analyzing the need to get data and what functions are needed in the system to be built. The system is built and managed with PHP and uses MySQL for database storage. In the sales application there is a notification of shipping goods that have not been done and can see the details of shipping goods that must be done. The results of the implementation of the design were tested using the blackbox method and distributing questionnaires, then it was found that the sales application can run well and in accordance with the expected function.","sales application, cash register system, bookkeeping, php, mysql"
", Heru Supriyono, S.T. M.Sc, Ph.D",Company Profile Dan Pendaftaran Siswa Baru Pada SD Negeri Toso 02 Berbasis WEB,"The development of information technology in the current era of globalization is growing rapidly. This technology is also used in the field of education in terms of delivering information online for school profiles and also in terms of online registration. SD Negeri Toso 02 is an elementary school that is less effective, so that people do not know information about SD Negeri Toso 02. This study aims to  produce a company profile system as a means of promotion and a website-based new students registration system that can be used by prospective students to register. The method used is the Waterfall method. The software used is XAMPP, Code Igniter, Visual Studio Code, Google Chrome. The hardware used is an Intel Core i5 laptop with 4GB of memory. This study resulted in a website-based company profile and new student registration system that could provide convenience for the public and prospective new students in obtaining information about schools and new student registration. With blackbox testing, this system can run according to plan.","Company profile, PPDB, Waterfall"
", Heru Supriyono, S.T. M.Sc, Ph.D",Pembutan Sistem Informasi Pembayaran Berbasis Web Pondok Pesantren Al-Mukmin (PPIM),"SPP payment is a transaction in a school system. This is important because it relates to school administration. SPP payments sometimes experience problems when collecting data and processing payment information so far they are still using a ledger so that it takes up a lot of time and effort. The development of technology in the present era has increased along with the times. The payment system at the Al-Mukmin Islamic Boarding School still uses the manual method, where treasury officers still write payment data, receipts, and reports to the Islamic Education Foundation and Orphanage, therefore problems often occur in making payments. The purpose of this system is to produce a computer-based payment system that features payment services and the creation of payment reports. The method used is the Waterfall type System Development Life Cycle (SDLC) method. This application helps for bookkeeping and printing in payments. The result of making this system is an information system for the treasurer so that it can easily and quickly make payments. According to the tests that have been done with the Black-box method, the system can run well and in accordance with the design in making payment services, printing receipts, and making reports","Pembayaran spp, Sistem Informasi,Waterfall."
", Heru Supriyono, S.T. M.Sc, Ph.D",Sistem Informasi Pengelolaan Persewaan Alat Kegiatan Outdoor Berbasis Web Pada Rans.Id Outdoor,"In making a website-based information system for outdoor equipment rental, the background is an effort to develop an outdoor equipment rental business at Rans.id Outdoor. Rans.id Outdoor is a service business that provides rental services for outdoor equipment and equipment. In making this information system, it is hoped that the lease transaction will be carried out more efficiently and save time. The purpose of making this is an effort to develop the rental business because Rans.id Outdoor is a good business in terms of business but still uses manual systems and does not support rental activities, therefore this information system was created to increase rental activities in terms of This is why an information system was created to facilitate and improve the process of rental activities with the aim of supporting rental activities at Rans.id Outdoor. This information system was created to provide information, process data and provide convenience in borrowing transactions. This website-based system was created using the waterfall method and using PC / Laptop hardware (Inter Core i5 Processor, 4GB RAM), Keyboard, Mouse and using devices. PHP software and is assisted by the Codeigniter framework and using the MySql database (PhpMyAdmin). The blackbox test results show all functions are running well. The drawback of this system is that it has not been tested directly in the real environment on potential users","Alat Outdoor, Sistem Informasi, Waterfall"
", Heru Supriyono, S.T. M.Sc, Ph.D",Aplikasi Penjualan Dan Pengelolaan Barang Untuk Toko Batik,"Batik Arum Madani is a medium-sized business that provides necessities such as clothing. Management of the sales system and management of goods is indispensable for middle-class businesses to increase effectiveness. Until now, the system for selling and managing Batik Arum Madani goods has been done manually. This causes it to be ineffective because it takes time to record reports. The purpose of this research is to develop the Arum Madani Batik system and to assist and facilitate the sale and management of goods. The method used is the waterfall method which consists of needs analysis, design, coding, testing, and application. In this development, some supporting software is needed, namely MySql, Text Editor, PHP, CSS, JavaScript, and CodeIgniter. The purpose of this research has been achieved is by testing the BlackBox which shows all functions are running well which has been tested directly by the manager of Batik Arum Madani but has not been tested on the customer because it is still constrained by a cashier printer that is not yet available.","Inventory, Pengelolaan, Penjualan, Toko Batik, Waterfall."
", Heru Supriyono, S.T. M.Sc, Ph.D",Sistem Prediksi Kelahiran Pada Ibu Hamil Menggunakan Metode Forward Chaining Berbasis Website,"Every pregnancy has a risk which is a contributing factor to the high MMR or the Maternal Mortality Rate. It is important to screen the risk of pregnancy in order to determine the next treatment for each pregnant woman. The decision to choose a sudden delivery process with a minimum knowledge of the mother about the condition and risk of pregnancy leads to an increase in MMR. The purpose of this final project is to assist health workers and pregnant women in detecting births in pregnancies, so an expert system for high-risk pregnancy screening is created. By using the Poedji Rochjati Scorecard (KSPR), which is a card used to check the risk of pregnant women with several risk factors and Forward chaining is a suitable expert system method to provide the right results to detecting births in pregnancies. Expert systems designed on a web basis can be operated on various devices such as PCs, tablets, etc. using a web browser. The resulting system is a web-based expert system that can detecting births in pregnancies. The system also performs system testing and testing to the user. In system testing of 15 midwives and 5 general public or pregnant women, an accuracy value of 81,6% was obtained using forward chaining and the system was able to diagnose early risks in pregnancy.","berbasis website, diagnosa, forward chaining, sistem pakar"
", Heru Supriyono, S.T. M.Sc, Ph.D",Sitem Informasi Inventaris Desa Cangkol,"Inventaris adalah salah satu hal penting untuk menunjang perkembangan sebuah kantor, perusahaan, ataupun tempat kerja. Pendataan dan pembukuan merupakan salah satu kunci penunjang kemajuan sebuah kantor perusahaan, atau tempat kerja. Di Desa Cangkol pendataan dan pembukuan masih dilakukan secara manual. Hal tersebut menyebabkan terhambatanya kecepatan pencarian, pengelolaan, pelaporan dan kemungkinan terjadi kesalahan pada data lebih besar. Tujuan dari Penelitian ini untuk menghasilkan sistem informasi berbasis komputer guna membantu desa dalam hal pendataan, pelaporan, dan pengelolaan inventaris barang desa. Metode yang digunakan dalam pengembangan sistem informasi ini yaitu menggunakan metode waterfall dan dirancang dengan tools Visual Studio, XAMPP, PHPMyadmin dengan menggunakan framework Codeigniter. Pengujian dilakukan dengan pengujian blackbox yang dijalankan dengan meminta bantuan karyawan Desa dan orang orang sekitar menunjukan fitur sistem berjalan dengan baik. Sistem ini dapat memebantu dalam percepatan dan meminimalisasi kesalahan pelaporan, pendatan, dan pengelolaan inventaris desa.","Desa , Inventaris , Sistem Informasi, Waterfall, Website"
